Adopter_or_not,cluster_id,mean_stdev,Attitude,Attitude_U,Subjective_norm,Subjective_norm_U,PBC
0,1,mean,0.63,0.53,0.37,0.50,0.50
0,1,stdev,0.22,0.22,0.35,0.28,0.32
0,2,mean,0.37,0.53,0.61,1.11,0.79
0,2,stdev,0.20,0.09,0.10,0.28,0.09
0,3,mean,0.46,0.83,-0.06,0.77,0.09
0,3,stdev,0.18,0.27,0.24,0.39,0.30
0,4,mean,0.08,1.11,0.10,1.12,-0.04
0,4,stdev,0.10,0.14,0.23,0.38,0.10
0,5,mean,0.23,0.58,0.01,0.50,0.14
0,5,stdev,0.23,0.19,0.17,0.32,0.15
1,1,mean,0.75,0.45,0.66,0.40,0.72
1,1,stdev,0.18,0.16,0.25,0.16,0.00
1,2,mean,0.44,0.75,0.25,0.70,0.72
1,2,stdev,0.13,0.15,0.20,0.28,0.00
1,3,mean,0.73,0.73,0.44,0.94,0.72
1,3,stdev,0.16,0.09,0.34,0.11,0.00
1,4,mean,0.69,1.11,0.44,0.54,0.72
1,4,stdev,0.00,0.00,0.00,0.00,0.00
1,5,mean,0.29,0.32,0.11,0.92,0.72
1,5,stdev,0.00,0.00,0.00,0.00,0.00
1,6,mean,0.40,0.60,0.69,1.24,0.72
1,6,stdev,0.00,0.00,0.00,0.00,0.00