id_exp,seed,step,network_topology,population_size,nb_strg_arg,adding_cycle,population_with_added_arg,population_with_attacked_arg,polarisation,mean_intention,rate_adoption
7,0.9735700710045174,950,regular,100,1,50,97,3,0.03514712604765652,0.16907624187946646,0.26
8,0.7076971056434671,0,regular,100,1,50,0,14,0.06379049039791855,0.17388897606397397,0.0
9,0.8085159729907229,0,regular,100,1,50,0,14,0.06379049039791855,0.17388897606397397,0.0
11,0.9772101783104306,0,regular,100,1,50,0,14,0.06379049039791855,0.17388897606397397,0.0
10,0.5585859784447698,0,regular,100,1,50,0,14,0.06379049039791855,0.17388897606397397,0.0
11,0.9772101783104306,50,regular,100,1,50,1,83,0.021854150645145985,0.3012677772050421,0.23
9,0.8085159729907229,50,regular,100,1,50,1,77,0.031126371407230572,0.17178118629949451,0.22
8,0.7076971056434671,50,regular,100,1,50,1,83,0.02709917375140054,0.19336040239058142,0.18
10,0.5585859784447698,50,regular,100,1,50,1,61,0.023757940977327693,0.18153973157939324,0.18
10,0.5585859784447698,100,regular,100,1,50,98,3,0.024513085070012514,0.15024308793668056,0.2
8,0.7076971056434671,100,regular,100,1,50,99,0,0.024869790272691466,0.13681678292362254,0.18
11,0.9772101783104306,100,regular,100,1,50,100,0,0.01858221480874771,0.24542721870180423,0.24
9,0.8085159729907229,100,regular,100,1,50,99,4,0.029336945944808172,0.09614669906876053,0.24
11,0.9772101783104306,150,regular,100,1,50,100,0,0.01858751914897249,0.24355299556258125,0.24
8,0.7076971056434671,150,regular,100,1,50,99,0,0.023914160993841818,0.13707535157690998,0.18
10,0.5585859784447698,150,regular,100,1,50,98,2,0.02733038574880401,0.13749265153533888,0.2
9,0.8085159729907229,150,regular,100,1,50,99,4,0.02890387820268925,0.09349735260514476,0.24
9,0.8085159729907229,200,regular,100,1,50,99,4,0.029672906446134465,0.09149399749686978,0.24
11,0.9772101783104306,200,regular,100,1,50,100,0,0.017617340282452446,0.24606171013151346,0.24
10,0.5585859784447698,200,regular,100,1,50,98,2,0.028572400192344204,0.13704933868081784,0.2
8,0.7076971056434671,200,regular,100,1,50,99,0,0.024072599022042434,0.1371947271086087,0.18
8,0.7076971056434671,250,regular,100,1,50,99,0,0.02387158234924117,0.13502918348363224,0.18
11,0.9772101783104306,250,regular,100,1,50,100,0,0.019005843401762944,0.24467902317148757,0.24
9,0.8085159729907229,250,regular,100,1,50,99,3,0.0287748280426643,0.09178994621221585,0.24
10,0.5585859784447698,250,regular,100,1,50,99,1,0.029527322208340378,0.13976842051483399,0.2
10,0.5585859784447698,300,regular,100,1,50,99,1,0.028249170667859536,0.14605924369108847,0.2
8,0.7076971056434671,300,regular,100,1,50,99,0,0.025115612398292263,0.13709280257612708,0.18
11,0.9772101783104306,300,regular,100,1,50,100,0,0.018068737313755558,0.2430234933007225,0.24
9,0.8085159729907229,300,regular,100,1,50,99,2,0.02939489928874084,0.08939382837198377,0.24
11,0.9772101783104306,350,regular,100,1,50,100,0,0.018270816090714015,0.24214187949861343,0.24
10,0.5585859784447698,350,regular,100,1,50,99,1,0.02967247333660165,0.14598983341342484,0.2
8,0.7076971056434671,350,regular,100,1,50,99,0,0.024442798480735953,0.13463405139402818,0.18
9,0.8085159729907229,350,regular,100,1,50,99,2,0.030412101864609915,0.091552044822881,0.24
9,0.8085159729907229,400,regular,100,1,50,99,2,0.029013708698293,0.0899510487589422,0.24
10,0.5585859784447698,400,regular,100,1,50,99,1,0.030123829526282002,0.1463134314515556,0.2
11,0.9772101783104306,400,regular,100,1,50,100,0,0.018558957141495747,0.24604203475251077,0.24
8,0.7076971056434671,400,regular,100,1,50,99,0,0.025055745238567847,0.13740387059974907,0.18
9,0.8085159729907229,450,regular,100,1,50,99,2,0.02854583183746517,0.08963483062148905,0.24
10,0.5585859784447698,450,regular,100,1,50,99,1,0.02918570673012114,0.14863972585790264,0.2
11,0.9772101783104306,450,regular,100,1,50,100,0,0.01848208399010761,0.24596909144478862,0.24
8,0.7076971056434671,450,regular,100,1,50,99,0,0.023611559093679273,0.13857885279852,0.18
11,0.9772101783104306,500,regular,100,1,50,100,0,0.01792195583487349,0.24316883640719417,0.24
8,0.7076971056434671,500,regular,100,1,50,99,0,0.02355378573655218,0.13881571582196298,0.18
10,0.5585859784447698,500,regular,100,1,50,99,1,0.02972370822059522,0.14798119744221724,0.2
9,0.8085159729907229,500,regular,100,1,50,99,2,0.029831163236693124,0.0862815955925193,0.24
8,0.7076971056434671,550,regular,100,1,50,99,0,0.02322307891307383,0.1369156519758277,0.18
10,0.5585859784447698,550,regular,100,1,50,99,1,0.03141024670718911,0.14345344719398814,0.2
11,0.9772101783104306,550,regular,100,1,50,100,0,0.017582673261185944,0.24573734346422516,0.24
9,0.8085159729907229,550,regular,100,1,50,99,2,0.02981295103214026,0.08692311253674204,0.24
10,0.5585859784447698,600,regular,100,1,50,99,1,0.029932058776195078,0.14091479181161398,0.2
11,0.9772101783104306,600,regular,100,1,50,100,0,0.01824621179318017,0.2424866699875926,0.24
8,0.7076971056434671,600,regular,100,1,50,99,0,0.02428745724629995,0.13311167543775487,0.18
9,0.8085159729907229,600,regular,100,1,50,99,2,0.029992973703139483,0.0881006522353526,0.24
10,0.5585859784447698,650,regular,100,1,50,99,1,0.030388288609008534,0.14031142098716573,0.2
11,0.9772101783104306,650,regular,100,1,50,100,0,0.018491065436616896,0.244026517022369,0.24
8,0.7076971056434671,650,regular,100,1,50,99,0,0.02352532855006732,0.13486558604333915,0.18
9,0.8085159729907229,650,regular,100,1,50,99,2,0.029880172592867217,0.08805808110888554,0.24
8,0.7076971056434671,700,regular,100,1,50,99,0,0.024446960926188536,0.13592063969197454,0.18
11,0.9772101783104306,700,regular,100,1,50,100,0,0.01874781951257388,0.2445210286397763,0.24
10,0.5585859784447698,700,regular,100,1,50,99,1,0.028606382408632183,0.1422876038377938,0.2
9,0.8085159729907229,700,regular,100,1,50,99,2,0.029588768499280736,0.08305265476057455,0.24
11,0.9772101783104306,750,regular,100,1,50,100,0,0.018236128084402885,0.2483637085721998,0.24
8,0.7076971056434671,750,regular,100,1,50,99,0,0.024048141340585565,0.13858338118619984,0.18
9,0.8085159729907229,750,regular,100,1,50,99,2,0.02988992807922755,0.08106313350311697,0.24
10,0.5585859784447698,750,regular,100,1,50,99,1,0.02963624089991205,0.14006273144903053,0.2
10,0.5585859784447698,800,regular,100,1,50,99,1,0.03065290449411079,0.14176466311092498,0.2
8,0.7076971056434671,800,regular,100,1,50,99,0,0.024067237118106172,0.1323529958647848,0.18
9,0.8085159729907229,800,regular,100,1,50,99,2,0.028976355607708452,0.08659399846145228,0.24
11,0.9772101783104306,800,regular,100,1,50,100,0,0.019302651603804642,0.24341904095776448,0.24
10,0.5585859784447698,850,regular,100,1,50,99,1,0.030648946841059316,0.13887006185138615,0.2
8,0.7076971056434671,850,regular,100,1,50,99,0,0.024145277590401915,0.13345913516420374,0.18
9,0.8085159729907229,850,regular,100,1,50,99,2,0.029835360779948982,0.08655280443650377,0.24
11,0.9772101783104306,850,regular,100,1,50,100,0,0.018106451075699363,0.2429526850734135,0.24
11,0.9772101783104306,900,regular,100,1,50,100,0,0.018157604174214328,0.24537815354772605,0.24
9,0.8085159729907229,900,regular,100,1,50,99,2,0.02992156684540832,0.08772081494650158,0.24
8,0.7076971056434671,900,regular,100,1,50,99,0,0.024590509320249677,0.13701282649439062,0.18
10,0.5585859784447698,900,regular,100,1,50,99,1,0.029765549252196984,0.1429048940843713,0.2
11,0.9772101783104306,950,regular,100,1,50,100,0,0.018078535214305424,0.24708856716517338,0.24
9,0.8085159729907229,950,regular,100,1,50,99,2,0.029690067135315773,0.08602659703098209,0.24
10,0.5585859784447698,950,regular,100,1,50,99,1,0.030043606960675092,0.13828902933603548,0.2
8,0.7076971056434671,950,regular,100,1,50,99,0,0.02493008663511778,0.135671962009997,0.18
14,0.9638088301275144,0,regular,100,1,50,0,14,0.06393685388598891,0.17516300798598983,0.0
12,0.9756216081146213,0,regular,100,1,50,0,14,0.06393685388598891,0.17516300798598983,0.0
13,0.5827815194250637,0,regular,100,1,50,0,14,0.06393685388598891,0.17516300798598983,0.0
15,0.9405683701455716,0,regular,100,1,50,0,14,0.06393685388598891,0.17516300798598983,0.0
13,0.5827815194250637,50,regular,100,1,50,1,53,0.03429424340375413,0.23183236247002736,0.29
14,0.9638088301275144,50,regular,100,1,50,1,66,0.020424941568609165,0.2940008669080411,0.26
12,0.9756216081146213,50,regular,100,1,50,1,67,0.025367347085618244,0.1770087445256925,0.2
15,0.9405683701455716,50,regular,100,1,50,1,73,0.03308455938968093,0.2693950194324597,0.24
14,0.9638088301275144,100,regular,100,1,50,100,5,0.019389046202979064,0.22584366577349685,0.26
15,0.9405683701455716,100,regular,100,1,50,100,2,0.03226213692574684,0.20704942973582355,0.24
13,0.5827815194250637,100,regular,100,1,50,100,0,0.030523576876935382,0.15245944344608015,0.29
12,0.9756216081146213,100,regular,100,1,50,97,3,0.027489395429411707,0.10988847540304252,0.2
15,0.9405683701455716,150,regular,100,1,50,100,2,0.03174182585397381,0.19987355553478153,0.24
14,0.9638088301275144,150,regular,100,1,50,100,5,0.019280192273188137,0.2170347983654553,0.26
13,0.5827815194250637,150,regular,100,1,50,100,0,0.031114830627470298,0.13768506120515805,0.29
12,0.9756216081146213,150,regular,100,1,50,97,3,0.028756022015560635,0.0884035958911304,0.2
12,0.9756216081146213,200,regular,100,1,50,97,2,0.03244360216334992,0.08405262454617882,0.2
14,0.9638088301275144,200,regular,100,1,50,100,5,0.020056119297727378,0.21900612778522313,0.26
15,0.9405683701455716,200,regular,100,1,50,100,2,0.032498736994121466,0.19942301836898887,0.24
13,0.5827815194250637,200,regular,100,1,50,100,0,0.03309543077168881,0.1532755312120416,0.29
15,0.9405683701455716,250,regular,100,1,50,100,2,0.032520752877638184,0.19797151892109252,0.24
14,0.9638088301275144,250,regular,100,1,50,100,5,0.019869197957583455,0.2204862541852502,0.26
12,0.9756216081146213,250,regular,100,1,50,97,2,0.03116728592210836,0.08269811168491016,0.2
13,0.5827815194250637,250,regular,100,1,50,100,0,0.032359857524332,0.15741023050727235,0.29
15,0.9405683701455716,300,regular,100,1,50,100,2,0.03228328509337902,0.1964709262186129,0.24
13,0.5827815194250637,300,regular,100,1,50,100,0,0.03427650943932397,0.16482922655948712,0.29
14,0.9638088301275144,300,regular,100,1,50,100,5,0.018648513553964918,0.21761494612102428,0.26
12,0.9756216081146213,300,regular,100,1,50,98,1,0.03164112918785131,0.07853583824212435,0.2
14,0.9638088301275144,350,regular,100,1,50,100,5,0.01940733166822333,0.2181955128888102,0.26
15,0.9405683701455716,350,regular,100,1,50,100,2,0.032962165982287586,0.19882225173709517,0.24
12,0.9756216081146213,350,regular,100,1,50,98,1,0.030897932812255207,0.07781686412946758,0.2
13,0.5827815194250637,350,regular,100,1,50,100,0,0.03279155238517977,0.1632871103457588,0.29
14,0.9638088301275144,400,regular,100,1,50,100,5,0.019327025798803937,0.21862769727579284,0.26
15,0.9405683701455716,400,regular,100,1,50,100,2,0.03201788126255271,0.19892123292334968,0.24
13,0.5827815194250637,400,regular,100,1,50,100,0,0.03306706880054301,0.16711966390002814,0.29
12,0.9756216081146213,400,regular,100,1,50,98,1,0.029744568510527793,0.07685460904186563,0.2
12,0.9756216081146213,450,regular,100,1,50,98,1,0.031385616449228895,0.07527896627607844,0.2
14,0.9638088301275144,450,regular,100,1,50,100,5,0.019668798778757064,0.21948476334472075,0.26
13,0.5827815194250637,450,regular,100,1,50,100,0,0.03393847971626781,0.16580462195002585,0.29
15,0.9405683701455716,450,regular,100,1,50,100,2,0.033539963511180285,0.19995753749869002,0.24
15,0.9405683701455716,500,regular,100,1,50,100,2,0.03253866854380658,0.19990815125738137,0.24
12,0.9756216081146213,500,regular,100,1,50,98,1,0.030812738539344443,0.0780499815913185,0.2
14,0.9638088301275144,500,regular,100,1,50,100,5,0.018957169434881013,0.22052819687860306,0.26
13,0.5827815194250637,500,regular,100,1,50,100,0,0.03428215681315933,0.1644136689032241,0.29
15,0.9405683701455716,550,regular,100,1,50,100,2,0.03188567273087903,0.201552837829589,0.24
14,0.9638088301275144,550,regular,100,1,50,100,5,0.01995948369032659,0.21997843475215004,0.26
13,0.5827815194250637,550,regular,100,1,50,100,0,0.03424870103661948,0.16446515243058094,0.29
12,0.9756216081146213,550,regular,100,1,50,98,1,0.030784435800403267,0.07898129400120388,0.2
14,0.9638088301275144,600,regular,100,1,50,100,5,0.019123075112443856,0.21835400346114983,0.26
15,0.9405683701455716,600,regular,100,1,50,100,2,0.031709210793601,0.2014038794169405,0.24
12,0.9756216081146213,600,regular,100,1,50,98,1,0.030033479946944497,0.07625299785872756,0.2
13,0.5827815194250637,600,regular,100,1,50,100,0,0.032640644239170444,0.16904428238766425,0.29
13,0.5827815194250637,650,regular,100,1,50,100,0,0.03481064563128351,0.16814978265632483,0.29
14,0.9638088301275144,650,regular,100,1,50,100,5,0.01955266482829791,0.21799129235228076,0.26
15,0.9405683701455716,650,regular,100,1,50,100,2,0.03204443211413558,0.20089266696016694,0.24
12,0.9756216081146213,650,regular,100,1,50,98,1,0.03032018085560037,0.07796338951174236,0.2
12,0.9756216081146213,700,regular,100,1,50,98,1,0.03035930651803341,0.07734321073046105,0.2
13,0.5827815194250637,700,regular,100,1,50,100,0,0.03352692233971079,0.1680679035074769,0.29
15,0.9405683701455716,700,regular,100,1,50,100,2,0.032676234203957974,0.200199794293426,0.24
14,0.9638088301275144,700,regular,100,1,50,100,5,0.019050482998665196,0.22027337820337692,0.26
14,0.9638088301275144,750,regular,100,1,50,100,5,0.018674154182454862,0.22081637642863672,0.26
13,0.5827815194250637,750,regular,100,1,50,100,0,0.034014255063816015,0.16740457740643516,0.29
15,0.9405683701455716,750,regular,100,1,50,100,2,0.0326591150185944,0.20026138375546432,0.24
12,0.9756216081146213,750,regular,100,1,50,98,1,0.031042097811028183,0.07946185177718895,0.2
12,0.9756216081146213,800,regular,100,1,50,98,1,0.030579770544146366,0.0787592791474834,0.2
13,0.5827815194250637,800,regular,100,1,50,100,0,0.03490728894506381,0.16811098833709628,0.29
15,0.9405683701455716,800,regular,100,1,50,100,2,0.03381367696548462,0.19898196507850419,0.24
14,0.9638088301275144,800,regular,100,1,50,100,5,0.019229294007734522,0.22010577444998095,0.26
13,0.5827815194250637,850,regular,100,1,50,100,0,0.033077055296285594,0.17078556038681114,0.29
12,0.9756216081146213,850,regular,100,1,50,98,1,0.03055144821033705,0.08171113040067267,0.2
15,0.9405683701455716,850,regular,100,1,50,100,2,0.032556291421140165,0.19987389906125116,0.24
14,0.9638088301275144,850,regular,100,1,50,100,5,0.02031678832203362,0.21862015236307722,0.26
14,0.9638088301275144,900,regular,100,1,50,100,5,0.01945088962044597,0.22054943094372156,0.26
15,0.9405683701455716,900,regular,100,1,50,100,2,0.032534828016384645,0.1983771305111314,0.24
13,0.5827815194250637,900,regular,100,1,50,100,0,0.03502633430404691,0.16927997421785698,0.29
12,0.9756216081146213,900,regular,100,1,50,98,1,0.031620713864786446,0.08033601932311715,0.2
13,0.5827815194250637,950,regular,100,1,50,100,0,0.03305971232361402,0.16613350713968397,0.29
12,0.9756216081146213,950,regular,100,1,50,98,1,0.030069293682780666,0.08075748911603003,0.2
15,0.9405683701455716,950,regular,100,1,50,100,2,0.03216788775150055,0.1992806286183442,0.24
14,0.9638088301275144,950,regular,100,1,50,100,5,0.019691382158347384,0.2214026504350873,0.26
